Nama Wilayah,2017,2018,2019,2020,2021
Kota Banjar,0.54,0.79,0.57,0.70,1.19
JAWA TENGAH,2.21,1.85,1.53,1.72,1.91
Cilacap,1.98,1.87,1.28,0.95,1.48
Banyumas,3.19,2.60,2.52,2.25,2.36
Purbalingga,2.79,2.79,2.24,2.32,2.10
Banjarnegara,3.25,2.08,2.38,2.47,2.97
Kebumen,3.62,2.48,2.58,2.62,3.24
Purworejo,2.25,1.67,0.84,0.98,1.36
Wonosobo,3.85,3.25,2.44,2.43,2.75
Magelang,1.67,1.55,0.98,1.23,1.63
Boyolali,1.96,1.26,1.02,1.30,1.76
Klaten,2.46,1.72,1.46,1.66,1.79
Sukoharjo,0.93,0.97,0.87,0.97,0.91
Wonogiri,1.80,1.71,0.82,1.08,1.58
Karanganyar,1.85,1.70,1.45,1.56,1.61
Sragen,1.93,2.31,2.31,2.18,2.39
Grobogan,2.03,1.67,0.90,1.17,1.66
Blora,1.53,1.62,1.59,1.39,1.82
Rembang,3.24,2.86,2.32,2.44,2.77
Pati,1.44,1.37,1.47,1.37,1.69
Kudus,1.00,0.88,0.83,1.01,1.23
Jepara,0.98,0.71,0.64,0.60,0.88
Demak,2.20,2.09,1.61,1.97,2.32
Semarang,1.10,1.51,0.63,0.96,0.95
Temanggung,1.81,1.36,0.51,0.86,1.57
Kendal,1.69,1.85,1.47,1.37,1.52
Batang,1.51,1.08,0.69,1.43,1.76
Pekalongan,1.73,1.40,1.17,1.42,1.75
Pemalang,3.52,2.96,2.55,2.86,2.92
Tegal,1.27,1.41,0.64,1.08,1.00
Brebes,3.06,3.51,2.31,3.01,3.04
Kota Magelang,1.30,1.07,0.99,1.12,0.85
Kota Surakarta,1.87,1.47,1.60,1.51,1.83
Kota Salatiga,0.85,0.69,0.83,0.53,0.80
Kota Semarang,0.54,0.58,0.57,0.68,0.67
Kota Pekalongan,0.92,1.01,0.92,1.28,1.51
Kota Tegal,1.42,1.23,1.15,1.38,1.04
D I YOGYAKARTA,2.19,2.07,1.74,1.94,2.42
Kulon Progo,2.79,2.47,2.72,3.22,3.01
Bantul,2.21,2.17,1.87,1.85,2.24
Gunung Kidul,3.36,3.84,2.58,2.68,2.98
Sleman,1.23,0.98,1.13,1.37,1.26
